NAME,YYYYMM,LAT,LONG,NEE,NEE_QC,GPP,RECO,PFT,ECUE,CO2_annual_mean,CO2_annual_mean_diff,IGBP,EVIave,EVImax,EVAave,EVAmax,PREave,PREmax,SSRtot,SSRmax,T2Mave,T2Mmax,PREdif_monthly,PREdif_annual,EVAdif_monthly,EVAdif_annual,T2Mdif_monthly,T2Mdif_annual,HWSD2_D1_AWC,HWSD2_D1_CLAY,HWSD2_D1_OC,HWSD2_D1_PHWATER,HWSD2_D1_SAND,HWSD2_D1_SILT,HWSD2_D1_TOTALN
AMF_US-xWD,201902,47.1282,-99.2414,2.335458249,0.948660714,0.35451,2.69,GRA,6.587848717,410.0891113,12.10837078,12,-269.5,-260,-0.001385561,1.06E-05,0.038027393,0.001067922,283.751152,2.369738,-19.08214616,-0.519094849,0.018436071,-0.039293879,0.005884942,0.053257226,-8.295765228,-22.33243127,139,23,3.227999926,6.599999905,33,44,2.630000114
FLX_CN-Dan,200412,30.85,91.08,5.423078,0.941532,1.0976604,7.353076,GRA,4.940579072,378.5248413,-17.7270031,10,-268.5,-249,-0.002230713,9.99E-06,0.005963463,0.000312388,473.02558,2.636606,-15.31723688,-1.63815918,-0.002589719,-0.06281388,0.005405194,0.036816159,-3.065540548,-11.20015061,12,20,3.162999868,6.699999809,51,29,1.5
FLX_RU-Sam,201003,72.3738,126.4958,5.173962,0.733199,4.850539,9.850622,GRA,1.066677744,392.8173218,-6.732870579,16,-268.5,-264,-0.000128177,5.26E-06,0.006832131,0.000110865,177.6795259,1.302683,-25.70087348,-11.59548035,-0.005478543,-0.019725204,-0.000128,5.00E-06,-1.636761565,-14.62336036,22,10,0.605000019,7.699999809,69,21,0.74000001
FLX_IT-Tor,201801,45.8444,7.5781,13.446436,0.864919,15.471821,21.956742,GRA,0.869092009,405.6792603,8.883814812,9,-267.5,-255,0.001037971,2.07E-05,0.318920322,0.005759388,184.662532,1.755378,-2.992298282,5.367578125,0.23684409,0.168331508,-0.000199855,0.032785011,2.275979307,-8.673215654,10,16,2.713999987,6.699999809,53,31,1.5
CNF_CN-DDS,201704,38.0142,100.2421,-5.856112398,0.752083333,7.532903139,1.67680603,GRA,-0.777404447,405.7666321,7.517127991,10,-265,-247,-0.014421153,1.14E-05,0.041109742,0.001331754,739.546082,3.859728,-6.870065244,6.068597412,0.000161087,-0.01828673,0.001425001,0.01633562,-1.219669372,-1.518807597,29,14,2.377000093,7,65,21,2.089999914
FLX_IT-Tor,200812,45.8444,7.5781,87.48448,0.721102,-0.4406743,75.4478,GRA,-198.5241254,387.9711304,-10.39241314,9,-261.5,-56,0.000835116,2.14E-05,0.187902544,0.002878383,160.878652,1.426214,-5.387800926,3.681054688,0.090556961,0.058340338,0.000196224,0.031303546,-1.191756842,-10.02450212,10,16,2.713999987,6.699999809,53,31,1.5
FLX_RU-Sam,201405,72.3738,126.4958,-4.217364,0.885753,5.89651,1.8034715,GRA,-0.715230535,401.1912842,1.269145966,16,-255,-244,-0.018869739,2.75E-05,0.024883346,0.001109883,492.077772,2.258668,-2.306025979,16.61133728,-0.003086698,0.00160927,-0.01887,2.70E-05,1.392286906,9.298833962,22,10,0.605000019,7.699999809,69,21,0.74000001
FLX_IT-Tor,201402,45.8444,7.5781,48.35628,0.778274,-3.113824,44.78096,GRA,-15.52954823,398.9091187,1.35012567,10,-245,-187,0.000878461,2.05E-05,0.158365929,0.002305225,253.499052,2.328752,-3.657984797,2.337411499,0.08583376,0.033852336,-0.000208215,0.030850575,0.285342468,-8.713076466,10,16,2.713999987,6.699999809,53,31,1.5
FLX_RU-Sam,201004,72.3738,126.4958,0.784062,0.775,1.503264,2.639157,GRA,0.521573057,393.3942871,-6.403150082,16,-244.5,-206,-0.007127595,1.38E-05,0.016051771,0.0002938,378.604542,2.020968,-12.60125889,1.982583618,0.000748265,-0.010505565,-0.007128,1.40E-05,0.810800346,-1.523745778,22,10,0.605000019,7.699999809,69,21,0.74000001
CNF_CN-DDS,201604,38.0142,100.2421,-4.31846044,0.701388889,7.081255273,2.76278903,GRA,-0.609843915,403.3744202,5.124916077,10,-241.5,-99,-0.011495768,6.59E-06,0.069396762,0.001670718,729.207498,3.893038,-6.126415973,7.292428589,0.028448107,0.006748549,0.004350386,0.020229645,-0.476020101,-0.608770077,29,14,2.377000093,7,65,21,2.089999914
FLX_IT-Tor,202001,45.8444,7.5781,39.80958,0.946909,-9.429332,29.17906,GRA,-4.221887616,412.6283264,15.83288097,10,-241,-103,0.000683242,2.68E-05,0.032975635,0.001098588,226.999104,1.57712,-3.463019209,6.880441284,-0.049100597,-0.06998413,-0.000554583,0.032508281,1.80525838,-9.026098457,10,16,2.713999987,6.699999809,53,31,1.5
FLX_RU-Tks,201404,71.5943,128.8878,-10.40085,0.853472,10.43028,0.0289311,GRA,-0.997178407,401.0328064,1.208942413,7,-234.5,-201,-0.007692813,8.40E-06,0.018081001,0.000552195,408.099114,1.920439,-8.983066432,2.180810547,0.001849871,-0.013342164,-0.001999271,0.008780434,4.247323925,2.995336461,35,12,12.947001,6.1,31,57,4.75
FLX_IT-Tor,201401,45.8444,7.5781,48.66535,0.832661,-4.606631,41.71143,GRA,-10.5641954,397.9574585,1.162012696,10,-233,-132,0.000771847,2.44E-05,0.110261467,0.002029665,187.349944,1.682128,-3.948355267,4.570840454,0.028185234,-0.014252126,-0.000465979,0.030743961,1.319922322,-9.003446936,10,16,2.713999987,6.699999809,53,31,1.5
